Title,Price,Bedrooms,Bathrooms,Areas,Location,Url
"2 storey terrace house Fully Renovated & Semi furnish, Putrajaya",RM 865 000,4 Bedrooms,3 Bathrooms,1650 sq.ft.,Putrajaya,https://www.mudah.my/2+storey+terrace+house+Fully+Renovated+Semi+furnish+Putrajaya-88374725.htm
Fera Twinvilla 3 Storey Semi Precint 8,RM 2 700 000,5 Bedrooms,5 Bathrooms,4521 sq.ft.,Putrajaya,https://www.mudah.my/Fera+Twinvilla+3+Storey+Semi+Precint+8-76371508.htm
"Lake view semi d 2.5 stry , DANAU MUTIARA P16",RM 2 500 000,6 Bedrooms,6 Bathrooms,4218 sq.ft.,Putrajaya,https://www.mudah.my/Lake+view+semi+d+2+5+stry+DANAU+MUTIARA+P16-42120799.htm
"2 storey terrace house renovated & semi furnished, putrajaya",RM 865 000,4 Bedrooms,3 Bathrooms,1650 sq.ft.,Putrajaya,https://www.mudah.my/2+storey+terrace+house+renovated+semi+furnished+putrajaya-88374879.htm
"Semi-D Astana Residence 5+1 Bedroom (Individual Lift), Precinct 8",RM 3 183 300,5 Bedrooms,6 Bathrooms,5348 sq.ft.,Putrajaya,https://www.mudah.my/Semi+D+Astana+Residence+5+1+Bedroom+Individual+Lift+Precinct+8-86943117.htm
"[END LOT] 2 Storey Terrace Presint 14, Putrajaya",RM 850 000,4 Bedrooms,3 Bathrooms,1950 sq.ft.,Putrajaya,https://www.mudah.my/+END+LOT+2+Storey+Terrace+Presint+14+Putrajaya-88600414.htm
End Lot 2 Storey precint 14c for sale,RM 890 000,4 Bedrooms,3 Bathrooms,2600 sq.ft.,Putrajaya,https://www.mudah.my/End+Lot+2+Storey+precint+14c+for+sale-76374541.htm
"Terrace house 2.5 storey corner unit, percinct 16, putrajaya",RM 1 350 000,5 Bedrooms,5 Bathrooms,3500 sq.ft.,Putrajaya,https://www.mudah.my/Terrace+house+2+5+storey+corner+unit+percinct+16+putrajaya-88529990.htm
"Semi-D Fera Twinvilla: Putrajaya lake & Masjid view, P8, Putrajaya",RM 2 700 000,5 Bedrooms,5 Bathrooms,4521 sq.ft.,Putrajaya,https://www.mudah.my/Semi+D+Fera+Twinvilla+Putrajaya+lake+Masjid+view+P8+Putrajaya-88526966.htm
"House For Sale 2 Storey (Renovated+Partially Furnished), Putrajaya",RM 695 000,4 Bedrooms,3 Bathrooms,1675 sq.ft.,Putrajaya,https://www.mudah.my/House+For+Sale+2+Storey+Renovated+Partially+Furnished+Putrajaya-88200327.htm
"Semi-D 3 storey lake view percinct 8, Putrajaya",RM 1 400 000,5 Bedrooms,5 Bathrooms,3200 sq.ft.,Putrajaya,https://www.mudah.my/Semi+D+3+storey+lake+view+percinct+8+Putrajaya-87440734.htm
"3-Storey Terrace House (Duta Villa) for Sale Putrajaya, Precinct 14",RM 1 359 000,6 Bedrooms,6 Bathrooms,3660 sq.ft.,Putrajaya,https://www.mudah.my/3+Storey+Terrace+House+Duta+Villa+for+Sale+Putrajaya+Precinct+14-86933100.htm
"Putrajaya Semi-D House Augusta Residence for Sale, precinct 12",RM 2 173 139,5 Bedrooms,6 Bathrooms,4291 sq.ft.,Putrajaya,https://www.mudah.my/Putrajaya+Semi+D+House+Augusta+Residence+for+Sale+precinct+12-86921266.htm
"Double Storey Terrace House, PRESINT 11, PUTRAJAYA",RM 675 000,4 Bedrooms,3 Bathrooms,1540 sq.ft.,Putrajaya,https://www.mudah.my/Double+Storey+Terrace+House+PRESINT+11+PUTRAJAYA-88599956.htm
RENOVATED | FLEXIBLE DEPOSIT | TERMURAH | Double Storey Presint 11,RM 675 000,4 Bedrooms,3 Bathrooms,2100 sq.ft.,Putrajaya,https://www.mudah.my/RENOVATED+FLEXIBLE+DEPOSIT+TERMURAH+Double+Storey+Presint+11-88599954.htm
Renovated Semi D Corner Lot Putrajaya,RM 1 800 000,5 Bedrooms,4 Bathrooms,2713 sq.ft.,Putrajaya,https://www.mudah.my/Renovated+Semi+D+Corner+Lot+Putrajaya-88272475.htm
"Semi D House Augusta Residence for Sale in Putrajaya, Precinct 12",RM 2 173 139,5 Bedrooms,6 Bathrooms,4291 sq.ft.,Putrajaya,https://www.mudah.my/Semi+D+House+Augusta+Residence+for+Sale+in+Putrajaya+Precinct+12-86921097.htm
"Semi-D 5 Rooms The Thymes8, Precinct 11, Putrajaya",RM 2 168 000,5 Bedrooms,5 Bathrooms,3286 sq.ft.,Putrajaya,https://www.mudah.my/Semi+D+5+Rooms+The+Thymes8+Precinct+11+Putrajaya-86916813.htm
2.5 STOREY HENING Precint 16 Putrajaya,RM 1 488 000,5 Bedrooms,5 Bathrooms,3300 sq.ft.,Putrajaya,https://www.mudah.my/2+5+STOREY+HENING+Precint+16+Putrajaya-74321024.htm
"New Semi-D The Thymes8 Precinct 11, Putrajaya",RM 2 168 000,5 Bedrooms,5 Bathrooms,3286 sq.ft.,Putrajaya,https://www.mudah.my/New+Semi+D+The+Thymes8+Precinct+11+Putrajaya-86917940.htm
Double Storey 2.5 CORNER SALE precint 18c putrajaya,RM 1 115 000,5 Bedrooms,5 Bathrooms,2800 sq.ft.,Putrajaya,https://www.mudah.my/Double+Storey+2+5+CORNER+SALE+precint+18c+putrajaya-80550602.htm
"House for sale 2-storey(fully renovated+partially furnished),putrajaya",RM 695 000,4 Bedrooms,3 Bathrooms,1650 sq.ft.,Putrajaya,https://www.mudah.my/House+for+sale+2+storey+fully+renovated+partially+furnished+putrajaya-88200628.htm
2.4 Storey Villa Teres Hening Putrajaya,RM 1 400 000,5 Bedrooms,5 Bathrooms,3300 sq.ft.,Putrajaya,https://www.mudah.my/2+4+Storey+Villa+Teres+Hening+Putrajaya-79377712.htm
LAKE VIEW UNIT PRECINT 16 Danau Mutiara,RM 2 600 000,5 Bedrooms,5 Bathrooms,4218 sq.ft.,Putrajaya,https://www.mudah.my/LAKE+VIEW+UNIT+PRECINT+16+Danau+Mutiara-63294491.htm
(FACINGOPEN) 2 Storey Terrace House The Pines Presint 11 Putrajaya,RM 780 000,4 Bedrooms,3 Bathrooms,1400 sq.ft.,Putrajaya,https://www.mudah.my/+FACINGOPEN+2+Storey+Terrace+House+The+Pines+Presint+11+Putrajaya-88599133.htm
Single storey - semi detached tmn desa saujana sg merab,RM 590 000,4 Bedrooms,3 Bathrooms,3200 sq.ft.,Putrajaya,https://www.mudah.my/Single+storey+semi+detached+tmn+desa+saujana+sg+merab-84838312.htm
Facing Open Renovated 2 Storey Terrace Presint 14 Putrajaya (EndLot),RM 850 000,4 Bedrooms,3 Bathrooms,1950 sq.ft.,Putrajaya,https://www.mudah.my/Facing+Open+Renovated+2+Storey+Terrace+Presint+14+Putrajaya+EndLot+-88598667.htm
"[Facing Open, FF] 2 Storey Semi-D Cluster Taman Putra Perdana Puchong",RM 530 000,4 Bedrooms,3 Bathrooms,1791 sq.ft.,Putrajaya,https://www.mudah.my/+Facing+Open+FF+2+Storey+Semi+D+Cluster+Taman+Putra+Perdana+Puchong-88598520.htm
Teres Presint 12 Putrajaya,RM 1 300 000,4 Bedrooms,3 Bathrooms,1765 sq.ft.,Putrajaya,https://www.mudah.my/Teres+Presint+12+Putrajaya-87650080.htm
Bungalow with Private Pool & Lift Putrajaya,RM 2 856 750,6 Bedrooms,6 Bathrooms,4557 sq.ft.,Putrajaya,https://www.mudah.my/Bungalow+with+Private+Pool+Lift+Putrajaya-83630593.htm
